Company,Customer,Contact,"Job Name","Quote Expire Date",Quote_Number,Note,approve_date
TOR,12451,3298,"32965 - Remington Triple Crown",10/22/2023,32965,"Arch Rep. N/A - ",08/23/2023
TOR,29270,93771,"32964 - Taco Bell - National Spec",10/21/2023,32964,"Kris George - ",08/22/2023
TOR,12441,47812,"32962 - St. Kateri Tekakwitha C.S.S.",10/21/2023,32962,"Arch Rep. N/A - ",08/22/2023
TOR,29615,54961,"32961 - North York Tile Sheraton Mall",10/21/2023,32961,"Arch Rep. N/A - ",08/22/2023
TOR,11032,87006,"32960 - Citiblock - 45 Birchmount Rd in ",10/21/2023,32960,"Arch Rep. N/A - ",08/22/2023
TOR,10981,31450,"32959 - Citiblock - 45 Birchmount Rd in ",10/21/2023,32959,"Arch Rep. N/A - ",08/22/2023
TOR,27162,90382,"32958 - Elliott Community - 170 Metcalfe",10/21/2023,32958,"Arch Rep. N/A - ",08/22/2023
TOR,11030,80869,"32957 - Daniels On Parliament - Regent P",10/21/2023,32957,"Marina Macri - ",08/22/2023
TOR,12584,39602,"32956 - GM - General Motors - National S",10/21/2023,32956,"Kris George - ",08/22/2023
TOR,12318,7681,"32954 - Highland Commons - Military Trai",10/20/2023,32954,"Robin Ma - ",08/23/2023
